data_base_index,genre,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
48405,metal,-4.602,91.18700000000001,4,10,1,202.9971,52.91645824850001,80.4705478615,19.2273523422,-19.7371160896,-36.1254297352,-18.411639511199997,-2.2714765784099997,-3.2494928716900002,18.8910875764,6.947930753560001,-3.77678615071,12.610002036700001,7.578191466180001,448.219187767,279.17333846,565.109048506,413.964667206,168.814381053,280.062731879,139.401960885,156.02720654,115.99782679,95.12617657540001,87.3568547923
24804,punk,-12.850999999999999,164.903,4,7,1,155.79383,36.4920441989,10.7085911602,62.3951418048,23.9981252302,17.6360626151,-14.257609576400002,-8.15162799263,11.8710755064,-4.92415285451,8.21913075506,-0.84311786372,-9.215197053410002,206.19911305099998,1634.3041125,4049.90472457,3641.73132335,3238.62197551,921.488478345,990.323403,1125.21440646,707.11052168,340.445021668,288.43431547,377.052886582
48000,metal,-4.238,175.94799999999998,3,1,0,232.14975,50.9566527378,38.5572017291,37.5618832853,-2.32220605187,-22.1067363112,-29.5266700288,5.31584726225,-1.73679106628,8.808325648410001,6.2034409221899995,0.43936167147,-0.370687319885,22.637040474499997,462.87948684699995,2327.35540112,441.23042891,592.0182233319999,394.036476241,636.7719517630001,192.290924909,306.433532565,170.312745405,153.733145516,270.339531915
26954,punk,-5.983,201.69,1,7,1,44.407709999999994,48.301751938,37.8712713178,63.4871627907,4.38880620155,-28.433496124,-22.320193798400002,21.0230775194,6.19358139535,7.47598449612,-0.210666666667,2.01623255814,16.1126899225,126.118097132,2194.76903497,1350.69088612,1531.48861915,1917.04028002,464.907131195,631.783048661,316.591228491,467.99299229400003,221.967934827,188.620125884,317.70131485
47028,metal,-11.069,125.038,4,6,0,394.23955,42.5550113798,1.4071870554799997,0.8878364153630001,2.9084687055500003,-26.3858435277,-20.7691024182,12.5744601707,-9.92512019915,13.3039025605,4.6891514936,1.5385960170700002,2.68137624467,16.551707044,1483.51974119,1698.1371419,810.9045285510001,495.879241196,619.387414586,385.359561157,304.28598290400004,228.332578195,268.927314349,185.11130642700002,316.795087572
48178,metal,-9.587,85.98700000000001,4,1,1,326.81751,47.07652686310001,18.1043639515,25.127495667199998,-4.72773136915,-37.927553726199996,-26.190190641199997,4.45888214905,-5.394580589249999,6.980959272100001,6.54843500867,2.21904766031,-0.371510398614,2.53124423368,532.767494088,371.279896636,393.54566784300005,547.496353008,272.644436562,287.601627009,115.827496854,160.180831679,108.53336797200001,88.6640736641,149.59968459799998
26526,punk,-6.956,129.916,4,4,1,108.22485,46.898087671199995,36.0640958904,63.8474465753,15.962087671199999,34.1123753425,1.07776164384,-28.6408657534,5.32742191781,0.142443835616,7.717293150680001,0.565512328767,5.88052054795,24.5765594279,4321.45167916,1863.50295586,1781.93113941,1099.50623252,796.275890527,586.911226818,814.18090008,348.712137874,412.25105824,204.93270340599997,210.278605861
24067,punk,-8.15,87.354,3,8,1,427.38892999999996,43.0699044434,37.6431648352,-54.5173779264,-2.8206063067400002,-8.97267701863,-21.2719235547,1.2611763019600002,7.28069995222,17.6763301481,12.6981858576,3.2535905398900002,4.1733927376999995,19.5342894997,832.623873453,954.9045388000001,1481.00368241,570.769024821,869.5126128510001,486.30628016699995,396.984116189,306.181615756,187.936950149,281.16526364,246.32001550900003
25339,punk,-15.477,120.462,4,11,1,275.74812000000003,39.271417801,-96.8107717277,15.6545235602,-0.54282513089,-67.3122858639,-9.14343455497,6.6625256544500004,1.35882094241,30.556197905799998,4.94802722513,6.8838104712,29.061350785300004,23.73109226,1418.95502467,1290.41834358,929.665026031,772.835871748,613.383426336,511.636477165,289.52373512099996,326.213475151,168.160369126,225.872533844,171.525248462
24079,punk,-5.398,213.125,4,11,1,107.51955,51.135263291099996,48.1692556962,49.1453139241,3.15993164557,-33.7585822785,-17.7674405063,15.9466658228,5.5449417721500005,-1.7881721519,1.1539569620299999,-4.52366835443,-10.1115367089,3.5984023458699994,631.316900833,750.673219562,364.52085089400003,401.692470496,248.16856440799998,227.528132653,191.747533786,201.92962045599998,171.188965013,123.409432956,156.581146755
48712,metal,-5.101,93.789,4,11,0,307.98322,50.8040290055,36.2188632597,23.8319074586,-7.15726933702,-50.1988024862,-19.2115041436,-5.88034392265,-3.62697237569,18.7147569061,6.152049723759999,0.47141574585600005,14.8809751381,20.9195577547,1424.60472824,1403.29695574,951.670406962,718.162208015,238.375596639,214.23014043599997,276.504396013,138.189595866,154.238107044,124.127857527,220.11899227
24524,punk,-7.881,93.14399999999999,3,4,0,224.86158999999998,42.8634033791,22.6218310454,-7.3060897571300005,0.404717001056,14.783706441400001,26.3250126716,-8.35472228089,1.06675184794,7.476911298839999,14.861212249200001,-11.7378046463,-5.63952164731,29.011775446599998,2025.06881631,1750.88077721,3453.11433106,1153.21508606,2188.58101609,621.3522312609999,904.850568391,555.994794634,505.37287522099996,716.682407226,369.577134068
47147,metal,-6.127000000000001,87.531,4,9,1,199.88853,48.8316908832,5.7733076923099995,21.609339031300003,-0.739931623932,-47.714048433,-4.93554985755,8.68137606838,-2.57379202279,12.9096581197,5.5071296296300005,-6.43330626781,-3.19630769231,17.0689818375,1383.27477792,889.0297045860001,848.960902124,859.630629647,630.945815427,378.179186132,472.067347757,239.820791527,248.124128939,242.852654788,152.915677187
26942,punk,-11.618,72.717,5,11,0,211.69587,36.1304601019,58.55772325979999,6.66065365025,14.892500848900001,-2.24551782683,-13.415585738499999,8.46162818336,-13.4860713073,-10.7297028862,-4.242940577250001,-2.60713242784,2.24133955857,53.365576757700005,3482.63989245,1614.90519424,2481.98104262,1330.08451183,1063.87250932,641.761612084,1586.34860142,255.413744501,521.429433672,342.298661534,237.824713712
26815,punk,-3.07,194.90200000000002,4,0,0,217.73016,52.494503692799995,43.277274741499994,22.7145155096,-3.97514475628,-28.0062023634,-19.2464283604,-5.55196159527,-2.46081240768,6.50730871492,6.41902067947,-0.905090103397,-0.27293943870000004,14.5812502707,2631.9110172,765.146164096,546.994544605,643.562404699,669.85005109,267.22162503,317.798022238,243.275705812,190.570739669,209.797060921,126.126569891
26163,punk,-11.624,140.915,3,11,1,102.26893000000001,43.7372414698,43.621984252,31.8259816273,2.82313910761,2.33128871391,-13.181480315,-7.661653543310001,-3.21443307087,-3.88545669291,3.7287847769,2.29938845144,1.82944094488,14.5452828971,858.595674666,1026.55949802,1023.66979887,698.787397187,850.529622223,479.433864715,255.352658009,393.06238748199996,210.781905854,208.679096075,175.36854558
27085,punk,-8.61,140.495,1,6,1,127.9473,46.526587890600005,-12.590015625,57.727810546899995,23.8584726562,5.0272109375,-18.8081289062,7.69603515625,7.087296875,3.286078125,2.1116484375,2.50379296875,-4.48441992187,13.4558169454,1013.06484545,3040.75246624,935.4171334089999,734.946422166,425.976917507,582.1757646240001,340.407033099,403.083239275,261.440095185,186.635507328,279.519703076
26872,punk,-6.649,189.674,4,1,0,152.63302,47.082327731099994,90.6573865546,3.18301680672,-0.993468907563,-5.51843865546,-14.406472268900002,1.7754067226900003,7.94487731092,4.82164705882,6.70598823529,-1.2676957983200001,3.6979815126099997,37.6630029296,1025.92161589,2231.31287693,649.809328699,1085.60527716,545.998186713,615.923410793,198.818949368,603.459784753,233.78419807900002,230.571559519,366.51635994800006
25046,punk,-7.14,131.224,4,4,1,220.68200000000002,46.4234418317,-0.819705445545,-7.468394801980001,3.62302475248,-4.956740099009999,-12.0175049505,-12.4549789604,10.4048106436,6.23552475248,-0.369565594059,5.397587871290001,-1.7985123762400002,33.7245073333,1514.28658307,2636.22731237,1271.51412891,662.2798936730001,706.475456668,398.196815991,461.706454978,324.34125364,180.79591858700002,186.74682981400002,351.45059771
48027,metal,-4.23,90.32700000000001,4,5,0,304.40443999999997,51.259323641,37.7643855879,14.3963780025,-5.697787610619999,-18.063179519600002,-28.960639696599998,4.10092288243,-6.432850821740001,13.6454753477,7.792773704169999,-0.026991150442499997,1.4570379266799998,7.7270329572000005,2209.92989296,665.322303681,729.772422635,477.433580709,549.585137062,306.49757676900003,415.990728026,178.556273165,217.382972044,157.578782767,124.74337361200001
26879,punk,-6.966,140.221,4,4,1,216.34567,48.679495726499994,9.958145299149999,22.0890239316,-10.2477538462,7.18401538462,-14.2226581197,-29.061157265,-7.241569230770001,12.631690598299999,1.5341606837600001,2.01767692308,-1.43537606838,19.2426446534,2770.62032735,977.822425073,910.031639461,327.819528268,435.575705664,206.299295866,423.274460789,256.613207848,257.314419704,148.776060379,166.734546751
47931,metal,-5.5889999999999995,235.893,3,11,0,324.5971,51.3820898642,41.544895506799996,30.755871473400003,-7.480086729360001,-22.2927335423,-32.1385611285,15.3575412748,-1.7368808777400002,0.780754440961,6.5800773249699995,0.657384535005,3.64314211076,4.73442360739,646.259060691,345.773052104,183.898007994,317.376330156,249.980524564,332.947954278,102.865221066,187.272953285,119.830982859,75.2697850287,221.609281955
25729,punk,-6.56,91.955,1,10,1,185.46893,47.2832551595,13.613469043199999,-29.367879925,-11.619326454000001,-2.5993902439,4.27479362101,-1.04034521576,0.307480300188,13.8848236398,7.3756078799199996,-7.85399437148,2.92068105066,13.9359095972,1204.89787461,1357.84292687,1665.61840262,697.011015165,1550.32183677,714.81490038,410.315570081,472.02378591300004,357.59238576900003,376.669372794,273.668462352
48124,metal,-8.937999999999999,91.04799999999999,1,8,1,407.06567,41.083414866,16.763380293900003,-12.167885911800001,-9.41696629213,-31.0308081245,-19.469672428699997,2.61971564391,-6.36708297321,8.95228262748,5.748938634400001,-0.765194468453,12.8150371651,95.5143802981,5238.59278429,1185.5114403,653.096908256,1442.33879975,464.13338784900003,503.413223106,316.66101098,294.107354528,233.299982429,169.338150136,252.427882487
24197,punk,-14.224,201.118,1,9,1,146.18077,40.834464716,14.254240963900001,46.304364888100004,4.76316179002,-10.1635576592,-8.07606024096,14.642846815799999,2.2561669535299997,14.6891394148,3.2417160068799995,-5.51754905336,-5.62394492255,16.2541943107,881.3598896939999,1086.054132,1156.20133587,924.698884615,593.35903057,459.74789708699996,277.451456032,240.403472037,223.51916696400002,176.21679685700002,146.975280169
48177,metal,-9.602,94.53399999999999,4,5,0,239.90812000000003,46.3118514851,40.8197567185,21.824571428600002,-5.39189816124,-56.6477157001,-22.0349957567,-1.54556859972,-2.41337340877,4.0072701555900005,4.99567751061,2.25652475248,0.7774780763789999,4.49450373891,375.522450532,815.857964273,241.136826089,485.72105835300005,273.09653246,317.500798845,122.282579156,162.760738257,99.32450794969999,125.795127092,135.72844260899998
26401,punk,-3.8789999999999996,93.34,4,7,1,193.17506,52.2574597403,40.5682324675,33.6302090909,0.491102597403,-37.2524974026,-1.65087272727,-4.3905662337699995,-1.9484025974,0.263388311688,-7.90896233766,0.41446363636399997,6.1691038961,8.76043171072,1061.23413704,890.829543046,696.847126988,488.843398541,593.79001389,329.654270607,319.910291087,231.630155957,220.704747945,187.36923989,120.080919472
48148,metal,-8.479,151.484,4,7,1,261.61587000000003,46.8493703008,104.295551692,38.4522199248,10.7592969925,-76.1700347744,-14.2990253759,23.5242509398,-0.6403721804510001,6.054488721799999,5.83336654135,1.0823280075200001,22.788163533800002,8.39905534972,1003.39075561,888.556435138,1033.10338194,564.332816193,729.068936741,534.559456094,367.467011049,261.69473965,283.71498955,181.486174363,215.504436994
26459,punk,-7.888,172.472,5,9,1,214.90892999999997,46.9352394366,39.519436619699995,-4.63185328638,-10.3753380282,-6.7028967136199995,-27.756205399099997,5.1391713615,1.07225117371,8.04969483568,6.75691549296,0.57064084507,4.0106971831000005,33.701782215,659.078032469,556.542923935,504.598680515,444.60811924800004,597.6782007080001,218.264534527,183.034027636,213.453868186,142.600844204,171.850781096,166.946165404
25264,punk,-6.511,92.133,4,5,1,183.77098,49.7654527629,24.1071925134,50.6556238859,-0.43511051693400005,-24.3435311943,-20.7610998217,3.80037076649,-1.3572228163999998,5.5320124777199995,2.44893048128,0.198249554367,1.4410748663100001,15.979350369,913.201477831,609.693733094,877.5699135460001,415.979086456,454.357513167,320.136007224,252.730054548,207.624586775,173.03833348,178.321799424,147.774902793
47000,metal,-5.25,113.40700000000001,4,4,1,263.10485,48.7937975035,51.781368932,35.2254479889,-2.56824271845,-0.753441054092,-18.247579750299998,9.482629681,5.244816920940001,2.27023162275,15.238220527000001,-1.8335561719799998,8.48839944521,74.0151322197,3601.37249038,4088.12477525,1213.28998156,1936.59680785,758.089990887,550.8494339590001,355.767753475,885.8410881000001,492.560693085,282.217028521,265.06835042299997
47540,metal,-4.994,99.57600000000001,4,0,0,154.48771000000002,51.956410714300006,46.76465625,22.480482142899998,-6.83135491071,-30.8334508929,-27.893551339299997,26.908140625,12.2540602679,-6.71849330357,1.18770982143,-2.26761607143,-1.6875825892899998,9.6653381706,573.18244752,458.76831386599997,517.5899444080001,357.11547615800004,272.191471256,456.693393125,223.977357673,161.310412089,156.026172898,165.853219531,108.597852922
47266,metal,-7.2620000000000005,180.08,3,0,0,159.11138,48.1201595331,68.69296498050001,44.218677042799996,6.4942256809300005,-18.5767315175,-23.544330739299998,2.660192607,-8.313336575880001,23.2099066148,8.21458365759,1.15427431907,1.6164027237399998,23.3041965037,1336.44477985,785.3883263160001,706.3904853189999,416.169103691,258.251385661,912.6755220739999,191.58601709099997,347.45978990599997,144.92201603700002,117.76050033899999,237.856753999
26058,punk,-3.9419999999999997,158.532,4,4,1,91.92444,51.636830128199996,42.9196923077,32.1718173077,0.816333333333,-26.149,-20.7433397436,0.49778205128200004,-5.47203205128,16.5606987179,11.3296378205,-0.567980769231,5.29933333333,26.8941394808,1282.84388397,455.104585386,1348.58766615,923.292797263,640.7764990769999,227.813089952,313.755019204,191.521769646,179.85456203200002,208.80488368599998,122.223505011
26425,punk,-5.2410000000000005,174.47099999999998,1,5,0,116.55791,51.3687736721,32.9721501155,28.5927736721,-9.31459584296,-16.0006905312,-26.7180092379,-4.56129330254,5.0159745958399995,7.87377829099,7.0339630485,-0.8416004618940001,-1.41296073903,9.256277061939999,389.67750370699997,457.45194498300003,506.29612802800006,286.838663207,351.19904996800005,249.08979310799998,156.198004223,153.567873932,118.344601056,196.430593007,141.749323095
46868,metal,-3.84,130.092,4,9,1,281.10322,51.0574363828,62.926128286,-20.7261829653,-9.7475446898,-40.4885699264,-30.7741650894,19.346743428,-0.9532313354359999,5.2426761303900005,10.4648201893,-3.29015983176,-2.75885383807,7.07727757087,699.268692625,442.761125887,835.470131567,381.96217042,624.352326966,342.032471644,313.481836897,147.820804019,197.77586633299998,150.87457694,120.733541551
