data_base_index_2,data_base_index,genre,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
3247,50294,jazz and blues,-13.572,66.055,5,0,1,307.77424,37.7484572243,-39.1910095057,0.0986131178707,-5.19998859316,-12.831201520899999,-4.1210551330800005,-5.41786596958,5.70908174905,0.345336501901,6.1511730038,-2.52961692015,-1.93853231939,49.192651166400005,1649.64373786,3399.0805122,1529.7038833,771.3138467919998,1029.68437169,432.281739918,320.573171537,425.43877574199996,255.700842892,335.366647383,393.94386045
604,47071,metal,-6.283,100.042,4,2,1,377.12934,48.1766775289,31.060372029899998,40.312511880500004,6.4567033265400005,-15.5805974202,-15.6920461643,-11.871594025799999,-5.97044195519,-7.788661235569999,-6.44579361847,7.45972844535,10.4393496266,19.392987338599998,1694.5237528,2986.95677441,754.847656422,1138.63472833,395.681835534,477.15537424800004,306.18832442400003,400.95919257199995,211.71203846,159.670552628,238.470152629
2013,49919,jazz and blues,-15.114,170.41400000000004,3,1,1,77.76608,31.5181061947,-21.3672522124,38.331402654899996,2.55605752212,2.55683185841,7.5394380531,0.768088495575,17.8153849558,-6.31780973451,10.9225044248,-11.8102876106,-14.1730265487,71.6432008029,5795.95984022,5149.75112723,4143.05091194,837.6825151930002,994.881801706,1052.17271569,761.7747036789999,793.0176470660001,372.472522091,476.219295169,493.005414105
824,24965,punk,-12.729,49.306,1,11,1,18.38975,34.6487592593,64.7559259259,-4.204,-4.6095,4.91540740741,39.6131851852,-46.6412407407,-5.881666666669999,0.682796296296,9.23377777778,-11.393796296300001,21.7550555556,106.887621072,5515.52354999,1671.09790793,6600.84329481,784.6270535010001,3032.964249,1000.36910489,1242.1121403,645.440818607,817.5824172839999,1060.23183283,551.752908275
2203,39737,folk,-11.836,114.749,3,0,1,208.92689,40.589343696,-67.53183765109999,-25.221364421399997,-17.2680880829,3.71322107081,-3.0952746114,-5.4122970639,-2.81366666667,-3.96983765112,-7.404341968910002,2.63613989637,12.0258687392,29.2853201185,3581.74761719,2037.18290028,2076.4465049,1091.53245428,860.5068666239999,490.60062412599996,710.358671238,455.161559901,359.04285104,373.677087132,377.752874601
1838,43990,dance and electronica,-11.407,108.976,4,9,0,308.71465,41.1329621951,-63.332097561000005,1.66657682927,-9.20412682927,-6.522463414630001,12.0963634146,-18.268770731700002,2.79007682927,-6.9167902439,-16.0733512195,-5.15108536585,9.61193170732,28.568787719299998,5660.72826791,1820.6715286,2018.92695188,433.363680671,1214.85003676,311.447749686,836.0485244639999,286.95165590700003,489.581791208,374.731265059,316.289541966
2774,29795,folk,-10.429,110.001,4,7,1,254.01424,41.9382588699,-36.4977201051,-33.49974113010001,-20.3173245729,-1.32144021025,-11.8057095926,5.22462286465,-9.50852693824,1.2663495400799998,-4.47837056505,-2.163282523,10.6925085414,49.8209776347,2155.65504356,2178.29014095,1293.45578788,814.272317408,725.607161998,491.7731504,555.824676331,325.198846874,389.34976556,240.66547842900002,221.59556872299999
2104,48653,metal,-6.737,141.064,4,2,1,458.86649000000006,47.5567533386,31.0853464258,26.0090447761,-5.28770227808,-36.3672160251,-26.618641005500002,8.827337784760003,2.3126724273400003,6.63835663786,5.339151610369999,-0.739690494894,-0.652957580518,72.41896849220001,2835.66712348,1833.19331877,545.630999237,937.607000884,249.406309815,505.238941212,221.23267003,599.729303835,145.563950521,87.1675740315,241.63551871
1784,26780,punk,-4.308,179.761,4,10,0,311.14404,46.0440493111,6.08152066715,-6.811949963740001,6.40364684554,4.39995576505,11.4608658448,-5.887497461930001,9.01978970268,-15.939150108800002,4.67506961566,-3.49843002175,0.143815808557,36.3839012637,3909.52849583,2445.61640151,2379.12426655,1604.59343582,1288.74850057,806.813065448,1398.37513676,554.8712887280001,760.085603202,617.561771685,312.06696687
3096,49872,jazz and blues,-12.914,120.585,1,5,1,289.2273,40.8058960905,5.67627366255,49.4836502058,19.0324753086,-23.4754773663,-3.88582201646,16.8219938272,8.22022427984,7.7523436214,3.798895061730001,-3.4809063786000003,-2.4438744856,36.7216481692,2168.59642503,972.7591146389999,1776.92150779,917.3837604060001,966.381573992,340.60610146700003,453.18189862300005,361.759645612,238.01941045400002,232.67586031099998,341.070165544
